rating,no_of_votes,gross,budget,genres_encoded,countries_encoded,gross_log
7.0,276000,69633110.0,70000000.0,246153202.17057735,169170122.22278813,18.058750744938315
8.0,946000,410668018.0,165000000.0,294329065.3844686,171267448.4737551,19.83329570640369
6.8,211000,57615777.0,6000000.0,133480736.04586516,162269879.6369369,17.86930701176701
7.6,32000,77529938.0,25000000.0,161892259.34404403,74033565.81261264,18.166174729402623
7.6,281000,571125435.0,291000000.0,276791803.4030449,159143831.46343982,20.16311942125298
7.1,479000,417643286.0,80000000.0,297370291.42253625,162476541.81037694,19.850138245769923
7.4,916000,825802095.0,139000000.0,395257243.795647,164224453.71494043,20.531865709557874
6.3,187000,31502161.0,40000000.0,327459402.9232715,143788620.70312017,17.26556673636123
7.8,468000,296640120.0,30000000.0,257217994.73370525,155705435.73284134,19.508030248243514
8.4,1300000,2052415039.0,321000000.0,373373835.69661736,118546280.25476204,21.442283005011472
8.5,610000,714644358.0,190000000.0,324207660.8139933,143903215.41286945,20.387295576913868
7.0,377000,218340595.0,60000000.0,163026074.1304002,162476541.81037694,19.201566768500314
7.5,279000,174175791.0,168000000.0,266233082.74484068,166573780.8795436,18.97557564602097
8.2,1200000,180908413.0,30000000.0,155576686.5713081,162476541.81037694,19.0135014611689
7.7,437000,172989651.0,92000000.0,175302462.61057687,161507396.56425142,18.968742335644162
6.3,2500,651053.0,25000000.0,222740100.99969006,160339569.27710998,13.386347867059358
8.1,515000,226299480.0,97600000.0,125846597.44823782,155705435.73284134,19.237369817185318
6.3,6600,121122700.0,40000000.0,298846237.4819832,159143831.46343982,18.61231464760292
8.4,804000,131060248.0,18500000.0,235151588.2559204,154980667.96566007,18.691167691466998
7.1,177000,75837743.0,35000000.0,134738644.3694115,110715328.81745672,18.144106668633153
7.6,478000,1338073645.0,200000000.0,273822723.46111697,176894063.93428254,21.014496838991214
8.4,1300000,2799439100.0,356000000.0,302544871.71948624,159143831.46343982,21.752684912989196
5.6,19000,3606529.0,25000000.0,234344403.43716297,155705435.73284134,15.098256649205423
7.3,331000,218237071.0,130000000.0,194110616.08847433,130567223.93311214,19.20109251610708
5.9,284000,506813864.0,110000000.0,253358693.5723362,159143831.46343982,20.04365436396916
6.5,178000,319715683.0,85000000.0,281356661.91774905,180677335.61450148,19.582942671319078
7.6,47000,129408392.0,75000000.0,398683285.7617315,157471398.12886688,18.678483798824143
7.3,485000,239268602.0,85900000.0,169258615.9791905,196539103.5245757,19.29309734076043
8.0,707000,276605984.0,150000000.0,245972701.35437313,147110799.31974933,19.438104614704873
7.1,51000,35509515.0,15000000.0,139333154.98684368,157471398.12886688,17.385311274862993
8.5,1700000,465516248.0,103000000.0,277813294.6929859,163750325.48056448,19.95865756062427
7.6,371000,440180275.0,100000000.0,200106602.77981043,131468272.20845854,19.902694919146825
5.4,42000,61989190.0,110000000.0,233213935.93339097,176733826.5598691,17.942470589100928
